数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
白虾（笼装）,620,4.556112551126779,5.61609133626023,0.5892120349044068
白虾（精品）,270,2.4326209453291927,3.0982378545130262,0.0454753329065372
白蛤,310,0.1793630193342824,0.2276513529665392,0.5949992225440364
百合,34,12.062643239113829,15.81949271328438,0.9073306335359912
百香果,33,0.4266528925619836,0.7458563218828155,0.298828125
盖菜,259,0.7494125005043565,0.9071900999932077,0.082565148248872
石斑鱼,278,4.46191899732537,5.491578267303676,0.0028541990403403
石榴,2,0.0,0.0,1.0
福临门大豆油,33,1.9425548938583703,2.223626196666006,0.5414885808312317
福临门花生油,33,0.2432614919245936,0.3034756086386874,0.3884505021520786
福临门菜籽油,33,0.0,0.0,1.0
福临门调和油,33,0.0,0.0,1.0
福临门非转基因大豆油,33,0.7821564576243726,0.9363508910346384,0.6460485607588722
福临门非转基因玉米油,33,1.138659320477501,1.3145390509981605,0.7414568844986649
福临门非转基因葵花籽油,33,1.6694214876033069,1.8982135372398503,0.7017859298302083
福稻梁源长粒清香米,13,0.0062130177514791,0.007477777728932,0.7500000000000032
秋然香米,33,0.0,0.0,1.0
秋葵,34,1.3139351997483482,1.6548707028330985,0.3471193685670898
空心脆枣,33,0.0969065656565655,0.1175257237868968,0.8579306722689077
空心菜,259,2.0411253817808546,2.341816020949081,0.1446967312963896
穿心莲,259,0.8326009841678333,1.0864218246777868,0.0014439233318245
竹笋,4,0.0,0.0,1.0
箱鸡蛋,720,103.31490667093408,104.224499689859,9.041051384661714e-06
精牛柳,360,1.1984008164214803,1.4108710437146217,0.2085041483172621
紫米,33,0.0,0.0,1.0
紫苏叶,131,0.7326809895424778,0.8808259011718238,0.6053154950653794
紫菜头,34,0.3067159484114501,0.3367906839103409,0.0393939393939397
紫豇豆,34,7.513589178987102,8.56826639194218,0.0003803470359813
紫贝天葵,34,0.7865546218487395,1.060536768594567,0.1584482831084771
红小豆,33,0.1658452843947494,0.2059294344022291,0.7046580187570186
红提,16,1.3191176470588235,1.4887167539627584,0.0352869162355821
红星斑,212,2.223532336996745,2.793925924095589,0.5617923612289614
红芸豆,33,0.1722654350996597,0.2044355022363367,0.7511289949050486
纯排骨,360,1.8137546868217151,2.2805642100141355,0.0232276536875931
纯瘦肉,360,0.6501256926755742,0.7732202514318716,0.0224078259426092
纯腔骨,360,0.6147343697353631,0.716907736887094,0.000159844702512
纯通脊,360,0.8490571303085996,1.0061276076512693,0.0330266516134453
绿宝大豆油,33,1.7337208988278503,2.018978646366225,0.6433803572833048
绿宝花生油,33,0.4351806838437854,0.4888539498141609,0.5983838848039216
绿宝调和油,33,0.0,0.0,1.0
绿茶南瓜子,33,0.0,0.0,1.0
绿豆,33,0.0729402987090151,0.0944750072481837,0.1455033936651584
罗氏虾,117,2.350618838053088,2.6587987514518354,0.1076954665644884
罗非鱼,310,0.2393144101882706,0.2855633593432298,0.7182341704499258
羊上脑,360,1.4775744464001446,1.7925116078239025,0.4150782627287155
羊头,360,0.0558993685793754,0.1300066785448138,0.0638038055234154
羊宝,305,1.7218008713549222,2.094319351155407,0.6762405836624115
羊小腿,360,0.475305174727476,0.5608859225296544,0.2315683355454083
羊尾巴油,360,0.0838029207186955,0.1059176282126733,0.5044147258562338
羊心,360,0.3016460171446226,0.4137016856344946,0.2298224332951447
羊排骨,360,1.1985356139865049,1.3617020195524814,0.2752972962553572
羊肉片,360,1.5310066324957357,1.7252429999762806,0.3732720260924698
羊肚,360,0.1861842304119668,0.2271055225596564,0.781635078185245
羊肝,360,0.007123504968174,0.0257699751211211,0.0329632173087752
羊肠,360,0.1131972430819128,0.1398755648980769,0.3766464247409318
羊腩,360,0.9768957793741552,1.097720426444384,0.64278948578066
羊腰子,360,0.6789781442643734,0.8214110166449968,0.7782312378391946
羊腰窝,360,1.1676117190166553,1.449438183764463,0.5245296113386383
